Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-05-22 04:09,Open,77832.1,0.004105,498.74929,-179.44,-35.99,10.76,2.16,-253.01,-50.80,-183.7,-1.84
1,Entry long,2025-10-07 16:00,L1,121498,0.004105,498.74929,-179.44,-35.99,10.76,2.16,-253.01,-50.80,-183.7,-1.84
2,Exit long,2026-05-22 04:09,Open,77832.1,0.004198,499.0817488,-172.54,-34.59,1.96,0.39,-247.79,-49.72,-176.8,-1.77
2,Entry long,2025-10-10 16:00,L2,118885.6,0.004198,499.0817488,-172.54,-34.59,1.96,0.39,-247.79,-49.72,-176.8,-1.77
3,Exit long,2026-05-22 04:09,Open,77832.1,0.004467,497.3392521,-149.89,-30.15,22.32,4.49,-229.99,-46.31,-154.15,-1.54
3,Entry long,2025-10-16 10:00,L3,111336.3,0.004467,497.3392521,-149.89,-30.15,22.32,4.49,-229.99,-46.31,-154.15,-1.54
4,Exit long,2026-05-22 04:09,Open,77832.1,0.004584,495.4080072,-138.87,-28.04,37.87,7.64,-221.08,-44.69,-143.13,-1.43
4,Entry long,2025-10-16 21:00,L4,108073.3,0.004584,495.4080072,-138.87,-28.04,37.87,7.64,-221.08,-44.69,-143.13,-1.43
5,Exit long,2026-05-22 04:09,Open,77832.1,0.004678,490.4653778,-126.62,-25.83,53.75,10.95,-210.53,-42.99,-130.88,-1.31
5,Entry long,2025-10-17 08:45,L5,104845.1,0.004678,490.4653778,-126.62,-25.83,53.75,10.95,-210.53,-42.99,-130.88,-1.31
6,Exit long,2026-05-22 04:09,Open,77832.1,0.004581,495.2115972,-138.9,-28.06,14.13,2.85,-221.06,-44.71,-143.16,-1.43
6,Entry long,2025-10-30 16:15,L6,108101.2,0.004581,495.2115972,-138.9,-28.06,14.13,2.85,-221.06,-44.71,-143.16,-1.43
7,Exit long,2026-05-22 04:09,Open,77832.1,0.004656,493.7492448,-131.61,-26.67,7.94,1.61,-215.13,-43.63,-135.87,-1.36
7,Entry long,2025-11-03 16:00,L7,106045.8,0.004656,493.7492448,-131.61,-26.67,7.94,1.61,-215.13,-43.63,-135.87,-1.36
8,Exit long,2026-05-22 04:09,Open,77832.1,0.004684,487.2221856,-122.91,-25.24,15.97,3.28,-206.94,-42.53,-127.17,-1.27
8,Entry long,2025-11-04 08:45,L8,104018.4,0.004684,487.2221856,-122.91,-25.24,15.97,3.28,-206.94,-42.53,-127.17,-1.27
9,Exit long,2026-05-22 04:09,Open,77832.1,0.004774,482.5310952,-111.23,-23.06,30.34,6.29,-196.88,-40.86,-115.49,-1.15
9,Entry long,2025-11-04 17:45,L9,101074.8,0.004774,482.5310952,-111.23,-23.06,30.34,6.29,-196.88,-40.86,-115.49,-1.15
10,Exit long,2026-05-22 04:09,Open,77832.1,0.004859,479.3534693,-101.44,-21.17,8.7,1.81,-188.63,-39.41,-105.71,-1.06
10,Entry long,2025-11-13 19:00,L10,98652.7,0.004859,479.3534693,-101.44,-21.17,8.7,1.81,-188.63,-39.41,-105.71,-1.06
11,Exit long,2026-05-22 04:09,Open,77832.1,0.004895,478.0677275,-97.36,-20.38,1.1,0.23,-185.2,-38.80,-101.62,-1.02
11,Entry long,2025-11-14 07:15,L11,97664.5,0.004895,478.0677275,-97.36,-20.38,1.1,0.23,-185.2,-38.80,-101.62,-1.02
12,Exit long,2026-05-22 04:09,Open,77832.1,0.004972,470.4347296,-83.75,-17.81,16.27,3.46,-172.98,-36.82,-88.01,-0.88
12,Entry long,2025-11-14 23:30,L12,94616.8,0.004972,470.4347296,-83.75,-17.81,16.27,3.46,-172.98,-36.82,-88.01,-0.88
13,Exit long,2026-05-22 04:09,Open,77832.1,0.004998,461.175456,-72.47,-15.72,28.08,6.09,-162.19,-35.22,-76.73,-0.77
13,Entry long,2025-11-17 19:00,L13,92272,0.004998,461.175456,-72.47,-15.72,28.08,6.09,-162.19,-35.22,-76.73,-0.77
14,Exit long,2026-05-22 04:09,Open,77832.1,0.005025,453.637905,-62.84,-13.86,38.26,8.43,-153.05,-33.79,-67.1,-0.67
14,Entry long,2025-11-18 04:00,L14,90276.2,0.005025,453.637905,-62.84,-13.86,38.26,8.43,-153.05,-33.79,-67.1,-0.67
15,Exit long,2026-05-22 04:09,Open,77832.1,0.005076,454.8999528,-60.14,-13.23,41.99,9.23,-151.26,-33.30,-64.4,-0.64
15,Entry long,2025-11-19 18:00,L15,89617.8,0.005076,454.8999528,-60.14,-13.23,41.99,9.23,-151.26,-33.30,-64.4,-0.64
16,Exit long,2026-05-22 04:09,Open,77832.1,0.005078,446.130229,-51.21,-11.49,50.95,11.42,-142.39,-31.96,-55.48,-0.55
16,Entry long,2025-11-20 16:45,L16,87855.5,0.005078,446.130229,-51.21,-11.49,50.95,11.42,-142.39,-31.96,-55.48,-0.55
17,Exit long,2026-05-22 04:09,Open,77832.1,0.005179,437.4038388,-34.64,-7.92,69.56,15.90,-127.65,-29.23,-38.9,-0.39
17,Entry long,2025-11-21 08:00,L17,84457.2,0.005179,437.4038388,-34.64,-7.92,69.56,15.90,-127.65,-29.23,-38.9,-0.39
18,Exit long,2026-05-22 04:09,Open,77832.1,0.005123,447.7122898,-49.3,-11.02,53.77,12.01,-141.28,-31.60,-53.56,-0.54
18,Entry long,2025-12-01 01:30,L18,87392.6,0.005123,447.7122898,-49.3,-11.02,53.77,12.01,-141.28,-31.60,-53.56,-0.54
19,Exit long,2026-05-22 04:09,Open,77832.1,0.005121,440.1673614,-41.91,-9.53,61.12,13.89,-133.87,-30.46,-46.17,-0.46
19,Entry long,2025-12-01 13:15,L19,85953.4,0.005121,440.1673614,-41.91,-9.53,61.12,13.89,-133.87,-30.46,-46.17,-0.46
20,Exit long,2026-05-22 04:09,Open,77832.1,0.005145,457.036524,-56.91,-12.46,46.6,10.20,-149.28,-32.71,-61.17,-0.61
20,Entry long,2025-12-07 15:00,L20,88831.2,0.005145,457.036524,-56.91,-12.46,46.6,10.20,-149.28,-32.71,-61.17,-0.61
21,Exit long,2026-05-22 04:09,Open,77832.1,0.005106,443.425464,-46.33,-10.45,56.4,12.72,-138.02,-31.17,-50.6,-0.51
21,Entry long,2025-12-15 16:00,L21,86844,0.005106,443.425464,-46.33,-10.45,56.4,12.72,-138.02,-31.17,-50.6,-0.51