Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
125,Entry long,2026-02-05 04:20,L122,71122.4,1.431485,101810.6488,73.29,0.07,313.92,0.31,-97.05,-0.10,15245.3,1.52
126,Exit long,2026-02-05 11:50,TP,70473.9,1.439517,101407.2069,41.17,0.04,162.23,0.16,-235.07,-0.23,15286.47,1.53
126,Entry long,2026-02-05 11:45,L123,70445.3,1.439517,101407.2069,41.17,0.04,162.23,0.16,-235.07,-0.23,15286.47,1.53
127,Exit long,2026-02-05 15:40,TP,67504.2,1.519792,101724.086,868.26,0.85,978.59,0.96,-139.21,-0.14,16154.73,1.62
127,Entry long,2026-02-05 15:35,L124,66932.9,1.519792,101724.086,868.26,0.85,978.59,0.96,-139.21,-0.14,16154.73,1.62
128,Exit long,2026-02-05 18:40,TP,65678.4,1.544066,101276.5242,135.26,0.13,349.11,0.34,-139.89,-0.14,16289.99,1.63
128,Entry long,2026-02-05 18:35,L125,65590.8,1.544066,101276.5242,135.26,0.13,349.11,0.34,-139.89,-0.14,16289.99,1.63
129,Exit long,2026-02-09 14:30,TP,68950.1,1.462559,101185.2431,-341.65,-0.34,134.56,0.13,-1333.85,-1.32,15948.33,1.59
129,Entry long,2026-02-09 10:20,L126,69183.7,1.462559,101185.2431,-341.65,-0.34,134.56,0.13,-1333.85,-1.32,15948.33,1.59
130,Exit long,2026-02-09 14:30,TP,68950.1,0.019303,1326.473205,4.47,0.34,5.83,0.44,0,0.00,15952.81,1.60
130,Entry long,2026-02-09 14:25,L127,68718.5,0.019303,1326.473205,4.47,0.34,5.83,0.44,0,0.00,15952.81,1.60
131,Exit long,2026-02-09 14:45,TP,69138.3,1.462559,100504.8606,613.98,0.61,1494.59,1.49,-382.61,-0.38,16566.79,1.66
131,Entry long,2026-02-09 14:25,L127,68718.5,1.462559,100504.8606,613.98,0.61,1494.59,1.49,-382.61,-0.38,16566.79,1.66
132,Exit long,2026-02-11 05:00,TP,67548.8,1.504707,101432.1484,209,0.21,259.26,0.26,-68.01,-0.07,16775.79,1.68
132,Entry long,2026-02-11 04:55,L128,67409.9,1.504707,101432.1484,209,0.21,259.26,0.26,-68.01,-0.07,16775.79,1.68
133,Exit long,2026-02-11 11:15,TP,66636.4,1.525142,101630.2774,-0.31,0.00,89.07,0.09,-28.22,-0.03,16775.48,1.68
133,Entry long,2026-02-11 11:10,L129,66636.6,1.525142,101630.2774,-0.31,0.00,89.07,0.09,-28.22,-0.03,16775.48,1.68
134,Exit long,2026-02-12 18:50,TP,65573.1,1.552971,101571.7577,261.37,0.26,398.03,0.39,-43.02,-0.04,17036.85,1.70
134,Entry long,2026-02-12 18:45,L130,65404.8,1.552971,101571.7577,261.37,0.26,398.03,0.39,-43.02,-0.04,17036.85,1.70
135,Exit long,2026-02-16 15:55,TP,67596.7,1.508663,101754.4916,226.15,0.22,351.82,0.35,-16.75,-0.02,17263,1.73
135,Entry long,2026-02-16 15:50,L131,67446.8,1.508663,101754.4916,226.15,0.22,351.82,0.35,-16.75,-0.02,17263,1.73
136,Exit long,2026-02-18 19:05,TP,66500,1.532541,101649.1534,264.82,0.26,268.04,0.26,-61.45,-0.06,17527.82,1.75
136,Entry long,2026-02-18 19:00,L132,66327.2,1.532541,101649.1534,264.82,0.26,268.04,0.26,-61.45,-0.06,17527.82,1.75
137,Exit long,2026-02-22 14:20,TP,67556.1,1.503961,101662.0485,-60.31,-0.06,102.12,0.10,-225.89,-0.22,17467.51,1.75
137,Entry long,2026-02-22 13:55,L133,67596.2,1.503961,101662.0485,-60.31,-0.06,102.12,0.10,-225.89,-0.22,17467.51,1.75
138,Exit long,2026-02-23 06:40,TP,65583.8,1.552897,101628.4124,216.47,0.21,319.28,0.31,-1881.49,-1.85,17683.99,1.77
138,Entry long,2026-02-23 01:15,L134,65444.4,1.552897,101628.4124,216.47,0.21,319.28,0.31,-1881.49,-1.85,17683.99,1.77
139,Exit long,2026-02-23 18:10,TP,64787.4,1.57081,101733.5097,35.19,0.03,105.24,0.10,-251.33,-0.25,17719.17,1.77
139,Entry long,2026-02-23 18:05,L135,64765,1.57081,101733.5097,35.19,0.03,105.24,0.10,-251.33,-0.25,17719.17,1.77
140,Exit long,2026-02-24 13:50,TP,62910.6,1.600929,101626.9729,-911.57,-0.90,55.07,0.05,-1726.28,-1.70,16807.6,1.68
140,Entry long,2026-02-24 04:05,L136,63480,1.600929,101626.9729,-911.57,-0.90,55.07,0.05,-1726.28,-1.70,16807.6,1.68
141,Exit long,2026-02-24 13:50,TP,62910.6,0.014789,930.2783826,0.11,0.01,1.63,0.17,-0.6,-0.06,16807.71,1.68
141,Entry long,2026-02-24 13:45,L137,62903.4,0.014789,930.2783826,0.11,0.01,1.63,0.17,-0.6,-0.06,16807.71,1.68
142,Exit long,2026-02-24 14:50,TP,63552.6,1.600929,100703.8773,1039.32,1.03,1221.83,1.21,-282.4,-0.28,17847.03,1.78
142,Entry long,2026-02-24 13:45,L137,62903.4,1.600929,100703.8773,1039.32,1.03,1221.83,1.21,-282.4,-0.28,17847.03,1.78
143,Exit long,2026-02-26 17:05,TP,66874.2,1.52896,101855.187,392.79,0.39,418.17,0.41,-75.53,-0.07,18239.82,1.82
143,Entry long,2026-02-26 17:00,L138,66617.3,1.52896,101855.187,392.79,0.39,418.17,0.41,-75.53,-0.07,18239.82,1.82
144,Exit long,2026-02-27 13:00,TP,65902.5,1.545858,101611.1014,264.81,0.26,282.12,0.28,-25.04,-0.02,18504.63,1.85
144,Entry long,2026-02-27 12:50,L139,65731.2,1.545858,101611.1014,264.81,0.26,282.12,0.28,-25.04,-0.02,18504.63,1.85
145,Exit long,2026-02-27 17:40,TP,65376.4,1.56254,101989.4859,163.75,0.16,316.73,0.31,-86.1,-0.08,18668.38,1.87
145,Entry long,2026-02-27 17:35,L140,65271.6,1.56254,101989.4859,163.75,0.16,316.73,0.31,-86.1,-0.08,18668.38,1.87
146,Exit long,2026-03-05 15:55,TP,71655.1,1.422653,101612.8483,327.49,0.32,476.73,0.47,-235.45,-0.23,18995.88,1.90
146,Entry long,2026-03-05 15:45,L141,71424.9,1.422653,101612.8483,327.49,0.32,476.73,0.47,-235.45,-0.23,18995.88,1.90
147,Exit long,2026-03-06 05:00,TP,70578.2,1.445091,101837.0079,154.91,0.15,169.8,0.17,-19.94,-0.02,19150.79,1.92
147,Entry long,2026-03-06 04:55,L142,70471,1.445091,101837.0079,154.91,0.15,169.8,0.17,-19.94,-0.02,19150.79,1.92
148,Exit long,2026-03-06 13:05,TP,69905.7,1.458436,101937.6759,15.31,0.02,182.16,0.18,-32.81,-0.03,19166.11,1.92
148,Entry long,2026-03-06 13:00,L143,69895.2,1.458436,101937.6759,15.31,0.02,182.16,0.18,-32.81,-0.03,19166.11,1.92
149,Exit long,2026-03-06 18:00,TP,67930.6,1.499878,101851.3154,36.3,0.04,189.58,0.19,0,0.00,19202.4,1.92
149,Entry long,2026-03-06 17:55,L144,67906.4,1.499878,101851.3154,36.3,0.04,189.58,0.19,0,0.00,19202.4,1.92
150,Exit long,2026-03-07 20:15,TP,67199.5,1.51774,101916.3928,74.98,0.07,175,0.17,0,0.00,19277.38,1.93
150,Entry long,2026-03-07 20:10,L145,67150.1,1.51774,101916.3928,74.98,0.07,175,0.17,0,0.00,19277.38,1.93
151,Exit long,2026-03-08 22:40,TP,65983.6,1.543506,101461.4408,384.64,0.38,788.11,0.78,-254.99,-0.25,19662.02,1.97
151,Entry long,2026-03-08 22:20,L146,65734.4,1.543506,101461.4408,384.64,0.38,788.11,0.78,-254.99,-0.25,19662.02,1.97
152,Exit long,2026-03-11 12:25,TP,69378,1.475096,102021.1796,318.03,0.31,330.13,0.32,-62.25,-0.06,19980.05,2.00
152,Entry long,2026-03-11 12:20,L147,69162.4,1.475096,102021.1796,318.03,0.31,330.13,0.32,-62.25,-0.06,19980.05,2.00
153,Exit long,2026-03-14 01:55,TP,70863.6,1.441056,102095.9355,22.48,0.02,22.48,0.02,-59.66,-0.06,20002.53,2.00
153,Entry long,2026-03-14 01:50,L148,70848,1.441056,102095.9355,22.48,0.02,22.48,0.02,-59.66,-0.06,20002.53,2.00
154,Exit long,2026-03-18 12:00,TP,72906.4,1.397811,102001.0643,-91.7,-0.09,82.33,0.08,-181.44,-0.18,19910.84,1.99
154,Entry long,2026-03-18 11:55,L149,72972,1.397811,102001.0643,-91.7,-0.09,82.33,0.08,-181.44,-0.18,19910.84,1.99
155,Exit long,2026-03-18 15:35,TP,71416.2,1.430277,101601.8721,543.08,0.53,629.46,0.62,-103.27,-0.10,20453.91,2.05
155,Entry long,2026-03-18 15:15,L150,71036.5,1.430277,101601.8721,543.08,0.53,629.46,0.62,-103.27,-0.10,20453.91,2.05
156,Exit long,2026-03-19 07:40,TP,70134.6,1.462601,102267.1096,311.83,0.30,327.48,0.32,-28.37,-0.03,20765.74,2.08
156,Entry long,2026-03-19 07:35,L151,69921.4,1.462601,102267.1096,311.83,0.30,327.48,0.32,-28.37,-0.03,20765.74,2.08
157,Exit long,2026-03-22 00:15,TP,68652.2,1.492173,102677.3194,-236.36,-0.23,124.15,0.12,-416.91,-0.41,20529.38,2.05
157,Entry long,2026-03-22 00:10,L152,68810.6,1.492173,102677.3194,-236.36,-0.23,124.15,0.12,-416.91,-0.41,20529.38,2.05
158,Exit long,2026-03-24 15:10,TP,69935,1.46108,102220.079,-39.45,-0.04,99.5,0.10,-108.12,-0.11,20489.93,2.05
158,Entry long,2026-03-24 15:05,L153,69962,1.46108,102220.079,-39.45,-0.04,99.5,0.10,-108.12,-0.11,20489.93,2.05
159,Exit long,2026-03-24 18:05,TP,69240.9,1.478452,102316.2707,53.08,0.05,169.73,0.17,-114.73,-0.11,20543.01,2.05
159,Entry long,2026-03-24 18:00,L154,69205,1.478452,102316.2707,53.08,0.05,169.73,0.17,-114.73,-0.11,20543.01,2.05
160,Exit long,2026-03-26 06:10,TP,70064.1,1.456275,101922.6485,109.95,0.11,134.12,0.13,-252.23,-0.25,20652.95,2.07
160,Entry long,2026-03-26 06:00,L155,69988.6,1.456275,101922.6485,109.95,0.11,134.12,0.13,-252.23,-0.25,20652.95,2.07
161,Exit long,2026-03-26 11:45,TP,69353.5,1.472174,102164.4591,-64.04,-0.06,34.01,0.03,-69.19,-0.07,20588.91,2.06
161,Entry long,2026-03-26 11:40,L156,69397,1.472174,102164.4591,-64.04,-0.06,34.01,0.03,-69.19,-0.07,20588.91,2.06
162,Exit long,2026-03-26 18:55,TP,68434.6,1.49145,101854.4017,212.38,0.21,236.84,0.23,-263.09,-0.26,20801.3,2.08
162,Entry long,2026-03-26 18:20,L157,68292.2,1.49145,101854.4017,212.38,0.21,236.84,0.23,-263.09,-0.26,20801.3,2.08
163,Exit long,2026-03-27 11:15,TP,66574.4,1.537048,101999.1201,328.93,0.32,349.83,0.34,-0.15,0.00,21130.23,2.11
163,Entry long,2026-03-27 11:10,L158,66360.4,1.537048,101999.1201,328.93,0.32,349.83,0.34,-0.15,0.00,21130.23,2.11
164,Exit long,2026-04-02 11:35,TP,66340,1.516911,101785.7899,-1153.91,-1.13,285.33,0.28,-1570.91,-1.54,19976.31,2.00
164,Entry long,2026-04-02 02:05,L159,67100.7,1.516911,101785.7899,-1153.91,-1.13,285.33,0.28,-1570.91,-1.54,19976.31,2.00
165,Exit long,2026-04-02 11:35,TP,66340,0.019018,1263.089979,-1.44,-0.11,0.61,0.05,-1.44,-0.11,19974.88,2.00
165,Entry long,2026-04-02 11:30,L160,66415.5,0.019018,1263.089979,-1.44,-0.11,0.61,0.05,-1.44,-0.11,19974.88,2.00
166,Exit long,2026-04-02 17:20,TP,67295,1.516911,100746.4025,1334.12,1.32,1493.4,1.48,-1121.6,-1.11,21309,2.13
166,Entry long,2026-04-02 11:30,L160,66415.5,1.516911,100746.4025,1334.12,1.32,1493.4,1.48,-1121.6,-1.11,21309,2.13
167,Exit long,2026-04-07 11:20,TP,68258.9,1.495903,102184.2364,-75.54,-0.07,103.37,0.10,-75.69,-0.07,21233.46,2.12
167,Entry long,2026-04-07 11:15,L161,68309.4,1.495903,102184.2364,-75.54,-0.07,103.37,0.10,-75.69,-0.07,21233.46,2.12
168,Exit long,2026-04-09 01:05,TP,70822,1.443961,102202.1156,62.09,0.06,112.63,0.11,-17.33,-0.02,21295.55,2.13
168,Entry long,2026-04-09 01:00,L162,70779,1.443961,102202.1156,62.09,0.06,112.63,0.11,-17.33,-0.02,21295.55,2.13
169,Exit long,2026-04-12 02:15,TP,71740.9,1.426416,101827.8443,504.52,0.50,628.91,0.62,-121.53,-0.12,21800.07,2.18
169,Entry long,2026-04-12 02:05,L163,71387.2,1.426416,101827.8443,504.52,0.50,628.91,0.62,-121.53,-0.12,21800.07,2.18
170,Exit long,2026-04-12 15:00,TP,70714.3,1.444646,102117.1139,40.02,0.04,159.92,0.16,-44.78,-0.04,21840.09,2.18
170,Entry long,2026-04-12 14:55,L164,70686.6,1.444646,102117.1139,40.02,0.04,159.92,0.16,-44.78,-0.04,21840.09,2.18
171,Exit long,2026-04-15 08:05,TP,73733.6,1.38603,102157.6184,39.36,0.04,49.62,0.05,-90.23,-0.09,21879.45,2.19
171,Entry long,2026-04-15 08:00,L165,73705.2,1.38603,102157.6184,39.36,0.04,49.62,0.05,-90.23,-0.09,21879.45,2.19
172,Exit long,2026-04-18 16:35,TP,75991,1.344686,102251.5371,-67.5,-0.07,63.74,0.06,-134.47,-0.13,21811.95,2.18
172,Entry long,2026-04-18 16:30,L166,76041.2,1.344686,102251.5371,-67.5,-0.07,63.74,0.06,-134.47,-0.13,21811.95,2.18
173,Exit long,2026-04-19 18:45,TP,74669.4,1.368321,102241.6293,-69.92,-0.07,16.15,0.02,-150.93,-0.15,21742.02,2.17
173,Entry long,2026-04-19 18:40,L167,74720.5,1.368321,102241.6293,-69.92,-0.07,16.15,0.02,-150.93,-0.15,21742.02,2.17
174,Exit long,2026-04-19 22:15,TP,73986.1,1.383716,102605.3088,-229.56,-0.22,0,0.00,-286.43,-0.28,21512.47,2.15
174,Entry long,2026-04-19 22:10,L168,74152,1.383716,102605.3088,-229.56,-0.22,0,0.00,-286.43,-0.28,21512.47,2.15
175,Exit long,2026-04-21 17:40,TP,75568,1.356747,102162.5064,364.15,0.36,578.92,0.57,-84.39,-0.08,21876.62,2.19
175,Entry long,2026-04-21 17:35,L169,75299.6,1.356747,102162.5064,364.15,0.36,578.92,0.57,-84.39,-0.08,21876.62,2.19
176,Exit long,2026-04-23 10:25,TP,77275.3,1.324252,102317.8011,14.17,0.01,113.09,0.11,-28.21,-0.03,21890.79,2.19
176,Entry long,2026-04-23 10:20,L170,77264.6,1.324252,102317.8011,14.17,0.01,113.09,0.11,-28.21,-0.03,21890.79,2.19
177,Exit long,2026-04-28 11:45,TP,76261.5,1.340091,102103.4094,93.94,0.09,100.64,0.10,-40.74,-0.04,21984.73,2.20
177,Entry long,2026-04-28 11:40,L171,76191.4,1.340091,102103.4094,93.94,0.09,100.64,0.10,-40.74,-0.04,21984.73,2.20
178,Exit long,2026-04-29 18:30,TP,75107.6,1.36061,102458.287,-266.14,-0.26,0,0.00,-367.36,-0.36,21718.59,2.17
178,Entry long,2026-04-29 18:25,L172,75303.2,1.36061,102458.287,-266.14,-0.26,0,0.00,-367.36,-0.36,21718.59,2.17
179,Exit long,2026-05-03 06:50,TP,78128,1.307927,102159.6929,26.03,0.03,26.03,0.03,-34.01,-0.03,21744.62,2.17
179,Entry long,2026-05-03 06:40,L173,78108.1,1.307927,102159.6929,26.03,0.03,26.03,0.03,-34.01,-0.03,21744.62,2.17
180,Exit long,2026-05-07 14:10,TP,80468.7,1.269916,102086.7694,101.72,0.10,114.29,0.11,-92.2,-0.09,21846.34,2.18
180,Entry long,2026-05-07 14:05,L174,80388.6,1.269916,102086.7694,101.72,0.10,114.29,0.11,-92.2,-0.09,21846.34,2.18
181,Exit long,2026-05-08 02:35,TP,79605.5,1.283997,101880.5396,332.68,0.33,380.45,0.37,-8.09,-0.01,22179.02,2.22
181,Entry long,2026-05-08 02:20,L175,79346.4,1.283997,101880.5396,332.68,0.33,380.45,0.37,-8.09,-0.01,22179.02,2.22
182,Exit long,2026-05-10 21:10,TP,80800.1,1.26678,102291.3449,64.61,0.06,113.88,0.11,-20.9,-0.02,22243.63,2.22
182,Entry long,2026-05-10 21:05,L176,80749.1,1.26678,102291.3449,64.61,0.06,113.88,0.11,-20.9,-0.02,22243.63,2.22
183,Exit long,2026-05-13 14:20,TP,79681.1,1.283359,102261.8952,-2.44,0.00,83.42,0.08,-64.17,-0.06,22241.19,2.22
183,Entry long,2026-05-13 14:15,L177,79683,1.283359,102261.8952,-2.44,0.00,83.42,0.08,-64.17,-0.06,22241.19,2.22
184,Exit long,2026-05-15 14:10,TP,79075.4,1.29845,102483.2825,192.17,0.19,316.43,0.31,-154.52,-0.15,22433.36,2.24
184,Entry long,2026-05-15 14:05,L178,78927.4,1.29845,102483.2825,192.17,0.19,316.43,0.31,-154.52,-0.15,22433.36,2.24
185,Exit long,2026-05-16 10:35,TP,77888.1,1.312813,102177.8112,74.7,0.07,159.77,0.16,-301.16,-0.29,22508.06,2.25
185,Entry long,2026-05-16 10:25,L179,77831.2,1.312813,102177.8112,74.7,0.07,159.77,0.16,-301.16,-0.29,22508.06,2.25
186,Exit long,2026-05-18 06:40,TP,76687.3,1.33156,102197.23,-83.49,-0.08,80.96,0.08,-166.31,-0.16,22424.57,2.24
186,Entry long,2026-05-18 06:25,L180,76750,1.33156,102197.23,-83.49,-0.08,80.96,0.08,-166.31,-0.16,22424.57,2.24
187,Exit long,2026-05-22 20:00,TP,75827.1,1.350635,102423.9195,-9.18,-0.01,95.08,0.09,-59.29,-0.06,22415.39,2.24
187,Entry long,2026-05-22 19:55,L181,75833.9,1.350635,102423.9195,-9.18,-0.01,95.08,0.09,-59.29,-0.06,22415.39,2.24